id;name;minimum_annual;first_description;second_description;third_description;fourth_description;image_path;created_date;created_by;last_modified_date;last_modified_by
1;Beauty open-source Games;27734;deposit Keyboard Circle;virtual Dynamic;purple Car;scale;content-based Drive;2023-05-20T16:26:53;program;2023-05-20T05:01:42;client-driven
2;feed Montana Director;57987;success robust Mayen;bus;Granite;Research copying purple;Wyoming copying Central;2023-05-20T22:00:37;Distributed;2023-05-20T18:39:14;wireless solid
3;Baht Namibia;16363;RSS drive;virtual;Pants Customer Tasty;Electronics Georgia;Lithuanian Computer SMS;2023-05-20T07:06:46;initiatives Strategist transmitter;2023-05-21T00:38:18;Bedfordshire
4;users Dinar;61738;withdrawal killer drive;Granite Account;Practical Checking;analyzer;utilize Centralized payment;2023-05-20T11:45:26;Wooden;2023-05-20T10:47:51;Texas sensor invoice
5;Keyboard;56973;Licensed Associate;Mobility Intelligent bluetooth;workforce XML Configuration;Intranet Idaho Haiti;Central;2023-05-20T14:30:04;reintermediate;2023-05-20T12:53:59;Sleek
6;teal;7688;Cuba Investment;lavender extend Mauritania;FTP;Berkshire Developer;Director;2023-05-20T07:56:26;connecting back Bermuda;2023-05-20T23:57:54;Cheese
7;value-added;77178;Sleek Steel state;Bacon payment;Computer matrix white;Wooden Intuitive tangible;cross-platform Implementation;2023-05-20T16:45:39;Realigned Dinar Handmade;2023-05-20T16:25:12;cross-platform Sleek adapter
8;cultivate;9403;mindshare Licensed bypassing;auxiliary Cameroon;Technician;Designer withdrawal engage;bandwidth value-added;2023-05-20T16:02:17;Senior Forge Bosnia;2023-05-20T17:52:40;Berkshire Executive Coordinator
9;(Slovak Dollar;39754;compressing software encompassing;lime;Poland Bahraini;function Hat;Division;2023-05-20T10:00:59;Designer protocol;2023-05-20T01:17:47;program
10;hacking;25481;Account;Generic virtual Personal;parsing overriding Turnpike;France parse;Fish Toys Berkshire;2023-05-20T23:36:43;Soft;2023-05-20T07:43:30;Interactions
